,tsne-2d-one,tsne-2d-two
458,98.7765,13.468007
459,46.533966,6.589829
460,-29.251331,52.9356
461,-13.6082535,52.935383
462,64.06253,-9.356896
463,-17.590633,15.644663
464,150.42365,13.162544
465,4.6847267,-39.889065
466,72.10721,-22.689112
467,30.618288,0.6173693
468,81.15193,73.65076
469,83.30574,-105.84971
470,-2.057121,17.942854
471,16.57428,-13.187117
472,-72.28983,-75.155685
473,-72.57935,-77.18544
474,-46.29067,42.868443
475,-12.695691,-16.695358
476,-31.963707,68.64513
477,10.70612,55.28178
478,34.92193,-17.96226
479,73.51143,-102.156136
480,-109.353806,-30.984047
481,29.609734,125.43708
482,29.711,125.77577
483,50.68789,-86.25212
484,28.842363,123.537994
485,28.840368,123.62278
486,24.238506,120.843796
487,76.12371,42.425644
488,28.172007,126.229546
489,-2.7948885,113.831215
490,-81.45153,51.379665
491,-104.542305,-31.623856
492,62.36592,42.37736
493,62.2992,42.428196
494,-74.68318,-18.993462
495,-97.26749,6.9940577
496,-77.228134,-10.211308
497,71.70795,8.173476
498,-34.957222,-57.58672
499,-10.932588,-75.67952
500,7.4521594,-31.626535
501,122.68014,-73.94409
502,22.011036,41.77555
503,-4.205406,-35.148796
504,-76.45171,-24.65364
505,18.969091,96.869835
506,31.793383,0.34744763
507,27.555862,14.73188
508,46.688576,-56.12844
509,90.43951,4.1075478
510,24.186935,-45.63389
511,87.03422,-0.24667738
512,-13.631843,-70.87579
513,29.895433,122.55686
514,43.319912,43.14302
515,-35.476227,-72.687744
516,-6.9508953,-32.867954
517,-62.476017,-62.343037
518,-4.4551425,-55.125427
519,-27.315386,38.377167
520,-18.572916,-23.203709
521,-29.641882,-21.111912
522,-14.313676,-42.041706
523,-113.96979,-60.455917
524,14.435693,-39.63249
525,-2.8877149,-4.3975067
526,-2.864113,33.304665
527,-29.74016,65.860794
528,-9.975285,53.477562
529,-58.537823,-67.2001
530,-32.805534,-51.504036
531,-73.58251,51.08725
532,-134.54904,-89.02439
533,37.524246,109.70739
534,-63.406296,-54.35508
535,-29.355375,-55.22761
536,17.51485,91.01462
537,-127.469124,27.483551
538,-71.76047,47.421158
539,-98.08539,51.432266
540,-58.06753,63.801544
541,-86.82326,86.303795
542,-38.736763,117.27881
543,-16.139753,-27.425814
544,-125.87803,-37.17338
545,-151.95467,-24.788986
546,-83.54139,-9.382671
547,-118.47726,-48.940727
548,-55.19876,58.645214
549,45.549538,-104.70661
550,77.94979,93.54769
551,126.941284,9.482901
552,-31.454025,39.811268
553,28.755722,-21.862278
554,-39.210697,-52.253174
555,21.36657,88.14904
556,-5.25495,-87.47444
557,136.32738,2.72361
558,48.68472,-94.377556
559,46.75582,-90.490105
560,28.92544,-21.972063
561,77.084854,46.723347
562,23.955149,-59.785217
563,95.50983,4.901263
564,-25.522198,28.634287
565,-2.4920645,-99.78441
566,-49.88992,-98.92966
567,-49.88779,-98.92889
568,-33.46152,-80.0117
569,2.0270915,-59.937614
570,142.16418,7.0096207
571,-39.65354,106.70849
572,-32.89273,-45.480137
573,-0.0299365,47.139072
574,36.271637,78.94689
575,20.01983,43.633698
576,77.15645,-23.530912
577,-33.21336,-24.706434
578,-45.4596,-30.136805
579,109.703476,38.875412
580,5.233151,26.265228
581,110.73367,94.565315
582,63.083626,33.73558
583,-57.95447,-81.955345
584,12.302472,56.623478
585,25.793425,48.473793
586,-75.44125,-54.166172
587,70.54124,63.066162
588,154.68388,50.452652
589,32.52512,-30.22835
590,-23.641768,-165.23923
591,-61.095238,-28.532368
592,61.93776,-88.00954
593,31.901852,6.9516325
594,44.59259,-22.353401
595,-58.8931,3.1649852
596,-38.176888,28.517752
597,-16.865772,63.31984
598,-85.3365,49.91723
599,-50.50323,-72.80202
600,67.77678,-25.527193
601,-38.692585,-88.03018
602,18.796228,-84.29609
603,100.60064,-81.91654
604,-69.14554,-46.667297
605,73.45989,-92.432434
606,29.38024,30.912958
607,107.650154,25.969662
608,-48.320103,-38.050816
609,4.320765,-103.500275
610,4.3426995,-103.53229
611,-33.79341,-33.331184
612,85.94364,-8.657986
613,-107.29518,-13.600601
614,-106.566574,-14.538181
615,-86.241486,35.124928
616,-103.4405,-15.7896185
617,-14.27446,-27.25146
618,-128.95287,27.260342
619,-30.86271,73.86299
620,-94.60964,-86.1452
621,-63.678745,40.402756
622,-37.97772,118.415054
623,-38.385326,117.55758
624,-75.6221,91.630196
625,-81.54327,69.73762
626,104.289024,-30.974974
627,75.12739,0.3588503
628,41.96401,-97.78068
629,95.73047,-40.14884
630,88.288765,-3.5404005
631,73.34457,54.233448
632,31.2862,-19.512531
633,119.95687,-41.847282
634,67.53262,-99.608315
635,115.53645,-45.440582
636,10.376558,-51.804577
637,64.4328,-15.5520935
638,72.45062,7.6899242
639,8.152624,-73.42789
640,-13.173197,4.997838
641,-38.320217,-4.221097
642,126.35457,-9.225783
643,-24.339466,19.752703
644,-70.52128,16.932213
645,-69.45581,18.702616
646,98.53917,-6.6119094
647,-53.569405,49.50465
648,39.023994,2.3212674
649,-76.91562,-17.194487
650,3.4804566,66.82774
651,-59.496323,-42.235397
652,-97.04568,22.49752
653,-80.09222,21.904547
654,-43.90164,-13.042584
655,-42.160435,-57.221
656,-19.91583,20.10166
657,39.814014,-10.3677
658,-90.50658,-19.478292
659,-64.06557,49.74474
660,-74.62395,-38.6479
661,-84.4588,-37.263294
662,-32.302742,35.460297
663,-106.09757,-1.9617686
664,65.19872,-40.151997
665,25.037622,40.6024
666,24.916246,40.592625
667,24.965378,40.593086
668,42.842464,-67.43849
669,-50.81,-23.024687
670,-28.85492,-83.76837
671,57.70375,80.49115
672,-57.91141,110.892715
673,-68.50781,105.017685
674,-54.175537,10.163511
675,2.8889904,-46.93783
676,-13.570013,89.241486
677,89.42562,88.32627
678,94.68562,104.81549
679,-69.58492,20.267366
680,-23.144175,85.65863
681,43.37731,79.2248
682,62.747196,-48.621967
683,2.5692093,-56.484165
684,108.24349,-35.267826
685,-69.33484,-172.17949
686,-31.014704,49.76635
687,-17.271534,25.659834
688,-37.159023,-2.2725594
689,-96.317924,-60.511467
690,-116.35485,-35.469536
691,-41.140793,32.402424
692,-23.331621,24.162205
693,59.66464,35.805016
694,67.702225,-57.731
695,122.653206,-3.4236503
